# IndicConjunctBreak.txt
# Unicode 17.0.0, vendored from ucd-full@17.0.0.
# Fields: code point range; Indic_Conjunct_Break value. Drives rule GB9c.
# Regenerate with: pnpm --filter @silk-lang/compiler unicode:vendor
094D; Linker
11038..11046; Extend
11070; Extend
11073..11074; Extend
1107F..11081; Extend
110B3..110B6; Extend
110B9..110BA; Extend
110C2; Extend
11100..11102; Extend
11127..1112B; Extend
1112D..11134; Extend
11173; Extend
11180..11181; Extend
111B6..111BE; Extend
111C0; Extend
111C9..111CC; Extend
111CF; Extend
1122F..11231; Extend
11234; Extend
11235; Extend
11236..11237; Extend
1123E; Extend
11241; Extend
112DF; Extend
112E3..112EA; Extend
11300..11301; Extend
1133B..1133C; Extend
1133E; Extend
11340; Extend
1134D; Extend
11357; Extend
11366..1136C; Extend
11370..11374; Extend
113B8; Extend
113BB..113C0; Extend
113C2; Extend
113C5; Extend
113C7..113C9; Extend
113CE; Extend
113CF; Extend
113D0; Extend
113D2; Extend
113E1..113E2; Extend
11438..1143F; Extend
11442..11444; Extend
11446; Extend
1145E; Extend
114B0; Extend
114B3..114B8; Extend
114BA; Extend
114BD; Extend
114BF..114C0; Extend
114C2..114C3; Extend
115AF; Extend
115B2..115B5; Extend
115BC..115BD; Extend
115BF..115C0; Extend
115DC..115DD; Extend
11633..1163A; Extend
1163D; Extend
1163F..11640; Extend
116AB; Extend
116AD; Extend
116B0..116B5; Extend
116B6; Extend
116B7; Extend
1171D; Extend
1171F; Extend
11722..11725; Extend
11727..1172B; Extend
1182F..11837; Extend
11839..1183A; Extend
11930; Extend
1193B..1193C; Extend
1193D; Extend
1193E; Extend
11943; Extend
119D4..119D7; Extend
119DA..119DB; Extend
119E0; Extend
11A01..11A0A; Extend
11A33..11A38; Extend
11A3B..11A3E; Extend
11A47; Extend
11A51..11A56; Extend
11A59..11A5B; Extend
11A8A..11A96; Extend
11A98..11A99; Extend
11C30..11C36; Extend
11C38..11C3D; Extend
11C3F; Extend
11C92..11CA7; Extend
11CAA..11CB0; Extend
11CB2..11CB3; Extend
11CB5..11CB6; Extend
11D31..11D36; Extend
11D3A; Extend
11D3C..11D3D; Extend
11D3F..11D45; Extend
11D47; Extend
11D90..11D91; Extend
11D95; Extend
11D97; Extend
11EF3..11EF4; Extend
11F00..11F01; Extend
11F36..11F3A; Extend
11F40; Extend
11F41; Extend
11F42; Extend
11F5A; Extend
13440; Extend
13447..13455; Extend
1611E..16129; Extend
1612D..1612F; Extend
16AF0..16AF4; Extend
16B30..16B36; Extend
16F4F; Extend
16F8F..16F92; Extend
16FE4; Extend
16FF0..16FF1; Extend
1BC9D..1BC9E; Extend
1CF00..1CF2D; Extend
1CF30..1CF46; Extend
1D165..1D166; Extend
1D167..1D169; Extend
1D16D..1D172; Extend
1D17B..1D182; Extend
1D185..1D18B; Extend
1D1AA..1D1AD; Extend
1D242..1D244; Extend
1DA00..1DA36; Extend
1DA3B..1DA6C; Extend
1DA75; Extend
1DA84; Extend
1DA9B..1DA9F; Extend
1DAA1..1DAAF; Extend
1E000..1E006; Extend
1E008..1E018; Extend
1E01B..1E021; Extend
1E023..1E024; Extend
1E026..1E02A; Extend
1E08F; Extend
1E130..1E136; Extend
1E2AE; Extend
1E2EC..1E2EF; Extend
1E4EC..1E4EF; Extend
1E5EE..1E5EF; Extend
1E8D0..1E8D6; Extend
1E944..1E94A; Extend
1F3FB..1F3FF; Extend
E0020..E007F; Extend
E0100..E01EF; Extend
